population,environment,sigma_obs,reward_mode,method,dataset_sha256,source
Amur tiger,regime,0.1,safe,ogsrl,e65ebec4cf71e20c1ae4e015fd0f15c2f9e6606d4e0affab024b9c71c2a140da,accepted frozen general-RL P=10
Amur tiger,regime,0.1,safe,bamcts,e65ebec4cf71e20c1ae4e015fd0f15c2f9e6606d4e0affab024b9c71c2a140da,accepted frozen general-RL P=10
Amur tiger,regime,0.1,safe,ensemble_value_disagreement_pessimism,e65ebec4cf71e20c1ae4e015fd0f15c2f9e6606d4e0affab024b9c71c2a140da,accepted frozen general-RL P=10
Amur tiger,regime,0.1,safe,plus_adapted_ricker_only_pbvi,e65ebec4cf71e20c1ae4e015fd0f15c2f9e6606d4e0affab024b9c71c2a140da,accepted P=10 ecological correction
Amur tiger,regime,0.1,safe,moor_adapted_ricker_misspec_pbvi,e65ebec4cf71e20c1ae4e015fd0f15c2f9e6606d4e0affab024b9c71c2a140da,accepted P=10 ecological correction
Amur tiger,regime,0.2,safe,refplan,fb5f4a13e403816de4b46fdab8ac62c2ac8c02518c5366bf57131e688f28b351,accepted frozen general-RL P=10
Amur tiger,regime,0.2,safe,ogsrl,fb5f4a13e403816de4b46fdab8ac62c2ac8c02518c5366bf57131e688f28b351,accepted frozen general-RL P=10
Amur tiger,regime,0.2,safe,bamcts,fb5f4a13e403816de4b46fdab8ac62c2ac8c02518c5366bf57131e688f28b351,accepted frozen general-RL P=10
Amur tiger,regime,0.2,safe,ensemble_value_disagreement_pessimism,fb5f4a13e403816de4b46fdab8ac62c2ac8c02518c5366bf57131e688f28b351,accepted frozen general-RL P=10
Amur tiger,regime,0.2,safe,plus_adapted_ricker_only_pbvi,fb5f4a13e403816de4b46fdab8ac62c2ac8c02518c5366bf57131e688f28b351,accepted P=10 ecological correction
Amur tiger,regime,0.2,safe,moor_adapted_ricker_misspec_pbvi,fb5f4a13e403816de4b46fdab8ac62c2ac8c02518c5366bf57131e688f28b351,accepted P=10 ecological correction
Crab-eating fox,ricker,0.1,safe,refplan,8c302e49638bc20b97331a7085452482bf5d76eddd38a78f1afc476501f9fe25,accepted frozen general-RL P=10
Crab-eating fox,ricker,0.1,safe,ogsrl,8c302e49638bc20b97331a7085452482bf5d76eddd38a78f1afc476501f9fe25,accepted frozen general-RL P=10
Crab-eating fox,ricker,0.1,safe,bamcts,8c302e49638bc20b97331a7085452482bf5d76eddd38a78f1afc476501f9fe25,accepted frozen general-RL P=10
Crab-eating fox,ricker,0.1,safe,ensemble_value_disagreement_pessimism,8c302e49638bc20b97331a7085452482bf5d76eddd38a78f1afc476501f9fe25,accepted frozen general-RL P=10
Crab-eating fox,ricker,0.1,safe,plus_adapted_ricker_only_pbvi,8c302e49638bc20b97331a7085452482bf5d76eddd38a78f1afc476501f9fe25,accepted P=10 ecological correction
Crab-eating fox,ricker,0.1,safe,moor_adapted_ricker_misspec_pbvi,8c302e49638bc20b97331a7085452482bf5d76eddd38a78f1afc476501f9fe25,accepted P=10 ecological correction
Crab-eating fox,ricker,0.2,safe,refplan,17c930ccd749ed236030de1a4eeff58925679c2d53fe6a96e697c839f849d481,accepted frozen general-RL P=10
Crab-eating fox,ricker,0.2,safe,ogsrl,17c930ccd749ed236030de1a4eeff58925679c2d53fe6a96e697c839f849d481,accepted frozen general-RL P=10
Crab-eating fox,ricker,0.2,safe,bamcts,17c930ccd749ed236030de1a4eeff58925679c2d53fe6a96e697c839f849d481,accepted frozen general-RL P=10
Crab-eating fox,ricker,0.2,safe,ensemble_value_disagreement_pessimism,17c930ccd749ed236030de1a4eeff58925679c2d53fe6a96e697c839f849d481,accepted frozen general-RL P=10
Crab-eating fox,ricker,0.2,safe,plus_adapted_ricker_only_pbvi,17c930ccd749ed236030de1a4eeff58925679c2d53fe6a96e697c839f849d481,accepted P=10 ecological correction
Crab-eating fox,ricker,0.2,safe,moor_adapted_ricker_misspec_pbvi,17c930ccd749ed236030de1a4eeff58925679c2d53fe6a96e697c839f849d481,accepted P=10 ecological correction
Crab-eating fox,allee,0.1,safe,refplan,03c94a3591060c072c613cf5ce36e8c966cc310f8afd397dc38b16f19e7122e9,accepted frozen general-RL P=10
Crab-eating fox,allee,0.1,safe,ogsrl,03c94a3591060c072c613cf5ce36e8c966cc310f8afd397dc38b16f19e7122e9,accepted frozen general-RL P=10
Crab-eating fox,allee,0.1,safe,bamcts,03c94a3591060c072c613cf5ce36e8c966cc310f8afd397dc38b16f19e7122e9,accepted frozen general-RL P=10
Crab-eating fox,allee,0.1,safe,ensemble_value_disagreement_pessimism,03c94a3591060c072c613cf5ce36e8c966cc310f8afd397dc38b16f19e7122e9,accepted frozen general-RL P=10
Crab-eating fox,allee,0.1,safe,plus_adapted_ricker_only_pbvi,03c94a3591060c072c613cf5ce36e8c966cc310f8afd397dc38b16f19e7122e9,accepted P=10 ecological correction
Crab-eating fox,allee,0.1,safe,moor_adapted_ricker_misspec_pbvi,03c94a3591060c072c613cf5ce36e8c966cc310f8afd397dc38b16f19e7122e9,accepted P=10 ecological correction
Crab-eating fox,allee,0.2,safe,refplan,688d580f1e47a61dcad9b8a6cb96f1d62835bfbd0b835554cf31c8ab8bdd0c13,accepted frozen general-RL P=10
Crab-eating fox,allee,0.2,safe,ogsrl,688d580f1e47a61dcad9b8a6cb96f1d62835bfbd0b835554cf31c8ab8bdd0c13,accepted frozen general-RL P=10
Crab-eating fox,allee,0.2,safe,bamcts,688d580f1e47a61dcad9b8a6cb96f1d62835bfbd0b835554cf31c8ab8bdd0c13,accepted frozen general-RL P=10
Crab-eating fox,allee,0.2,safe,ensemble_value_disagreement_pessimism,688d580f1e47a61dcad9b8a6cb96f1d62835bfbd0b835554cf31c8ab8bdd0c13,accepted frozen general-RL P=10
Crab-eating fox,allee,0.2,safe,plus_adapted_ricker_only_pbvi,688d580f1e47a61dcad9b8a6cb96f1d62835bfbd0b835554cf31c8ab8bdd0c13,accepted P=10 ecological correction
