population,population_class,environment,sigma_obs,reward_mode,collapse_penalty,method,method_label,episodes,evaluation_horizon,discount,operational_return_mean,operational_return_sd,collapse_rate,unsafe_fraction,mvp_breach_rate,persistence_mean,min_population_mean,economic_cost_mean,dataset_sha256,source,episodes_path,episodes_sha256,action_entropy_mean,constant_episode_policy,pbvi_action_margin_min,pbvi_argmax_actions
Amur tiger,declining recoverable,allee,0.1,safe,10.0,refplan,RefPlan-inspired,20,50,0.95,3.1742150734766055,0.7651044569320776,0.0,0.0,0.0,1.0,176.89481726358747,17.1425,a408ee1968a695414be8bf3bfdbd0f87ee60588e2b6fa68872593ecb25f07059,accepted frozen general-RL P=10,,,,,,
Amur tiger,declining recoverable,allee,0.1,safe,10.0,ogsrl,OGSRL-inspired,20,50,0.95,2.9119625827509177,0.5020488117431691,0.0,0.0,0.0,1.0,99.41455172745212,8.764375000000001,a408ee1968a695414be8bf3bfdbd0f87ee60588e2b6fa68872593ecb25f07059,accepted frozen general-RL P=10,,,,,,
Amur tiger,declining recoverable,allee,0.1,safe,10.0,bamcts,BA-MCTS-inspired,20,50,0.95,1.2291797585108477,1.1355235816665092,0.0,0.0,0.0,1.0,199.4295040092212,25.946875,a408ee1968a695414be8bf3bfdbd0f87ee60588e2b6fa68872593ecb25f07059,accepted frozen general-RL P=10,,,,,,
Amur tiger,declining recoverable,allee,0.1,safe,10.0,ensemble_value_disagreement_pessimism,EVD,20,50,0.95,-13.09079696479579,2.216578013238587,1.0,0.27254901960784317,1.0,0.0,9.90779084406483,4.499375000000001,a408ee1968a695414be8bf3bfdbd0f87ee60588e2b6fa68872593ecb25f07059,accepted frozen general-RL P=10,,,,,,
Amur tiger,declining recoverable,allee,0.1,safe,10.0,plus_adapted_ricker_only_pbvi,PLUS P=10,20,50,0.95,4.224420899026084,9.112518314015307e-16,0.0,0.0,0.0,1.0,200.0,15.625,a408ee1968a695414be8bf3bfdbd0f87ee60588e2b6fa68872593ecb25f07059,accepted P=10 ecological correction,/fs04/scratch2/ce25/Claude_DeepRL_Population_Models/real_ecology_runs/three_species_ecological_p10_correction_20260723_v1/plus/evaluation/regime_hidden/amur_tiger/allee/sigma_0p1/plus_three_species_matched_p10_v1/data_real/backend_numpy/regime_hidden/reward_safe/plus_adapted_ricker_only_pbvi/faithful_internal/episodes.csv,1cd8763696ea61526b4ffee2fbc8d122d54871f4c51debb4def44375a8a4e61b,0.0,True,0.21653980519694294,10;10;10;10;5;10;5;10
Amur tiger,declining recoverable,allee,0.1,safe,10.0,moor_adapted_ricker_misspec_pbvi,MOOR P=10,20,50,0.95,4.224420899026084,9.112518314015307e-16,0.0,0.0,0.0,1.0,200.0,15.625,a408ee1968a695414be8bf3bfdbd0f87ee60588e2b6fa68872593ecb25f07059,accepted P=10 ecological correction,/fs04/scratch2/ce25/Claude_DeepRL_Population_Models/real_ecology_runs/three_species_ecological_p10_correction_20260723_v1/moor/evaluation/regime_hidden/amur_tiger/allee/sigma_0p1/moor_three_species_matched_p10_v1/data_real/backend_numpy/regime_hidden/reward_safe/moor_adapted_ricker_misspec_pbvi/faithful_internal/episodes.csv,2f70eb6006b3732fa776fd39b1675145008ab2a83dae6a82f8dde5ed9cfb491e,0.0,True,0.5923979474530032,10
Amur tiger,declining recoverable,allee,0.2,safe,10.0,refplan,RefPlan-inspired,20,50,0.95,3.4544705590860403,0.6849001413539572,0.0,0.0,0.0,1.0,145.02878425300008,14.448125,7e71172af4bc95b2c31291414af53371c1ea94393e01675d269b2b7c360324c9,accepted frozen general-RL P=10,,,,,,
Amur tiger,declining recoverable,allee,0.2,safe,10.0,ogsrl,OGSRL-inspired,20,50,0.95,4.71629840155769,0.20284613996376366,0.0,0.0,0.0,1.0,92.04697212073476,6.328125,7e71172af4bc95b2c31291414af53371c1ea94393e01675d269b2b7c360324c9,accepted frozen general-RL P=10,,,,,,
Amur tiger,declining recoverable,allee,0.2,safe,10.0,bamcts,BA-MCTS-inspired,20,50,0.95,1.2780856162218548,1.8304633926521898,0.0,0.0,0.0,1.0,200.0,24.094375000000003,7e71172af4bc95b2c31291414af53371c1ea94393e01675d269b2b7c360324c9,accepted frozen general-RL P=10,,,,,,
Amur tiger,declining recoverable,allee,0.2,safe,10.0,ensemble_value_disagreement_pessimism,EVD,20,50,0.95,-11.637268895277963,2.926533788255256,1.0,0.2529411764705882,1.0,0.0,9.146453088366064,3.7993750000000004,7e71172af4bc95b2c31291414af53371c1ea94393e01675d269b2b7c360324c9,accepted frozen general-RL P=10,,,,,,
