population,environment,sigma_obs,action,reward,return_mean,return_sd,current_parity_delta
Amur tiger,allee,0.1,0,Current,0.9168613941103139,2.278129578503827e-16,4.440892098500626e-16
Amur tiger,allee,0.1,0,OptionA,4.938492770324094,9.112518314015307e-16,4.440892098500626e-16
Amur tiger,allee,0.1,0,OptionC,0.4781833514997591,1.1390647892519134e-16,4.440892098500626e-16
Amur tiger,allee,0.1,1,Current,-95.16203290609954,0.0,0.0
Amur tiger,allee,0.1,1,OptionA,-71.93807276162754,1.4580029302424492e-14,0.0
Amur tiger,allee,0.1,1,OptionC,-95.606471638208,1.4580029302424492e-14,0.0
Amur tiger,allee,0.1,2,Current,-144.73144628609626,2.9160058604848984e-14,8.526512829121202e-14
Amur tiger,allee,0.1,2,OptionA,-129.9488691671605,2.9160058604848984e-14,8.526512829121202e-14
Amur tiger,allee,0.1,2,OptionC,-145.17589073053767,5.832011720969797e-14,8.526512829121202e-14
Amur tiger,allee,0.1,3,Current,4.160496823594089,0.061328623969458464,0.0
Amur tiger,allee,0.1,3,OptionA,4.160496823594089,0.061328623969458464,0.0
Amur tiger,allee,0.1,3,OptionC,3.754435706876005,0.06139247271590675,0.0
Amur tiger,allee,0.1,4,Current,-0.21298071681069888,0.04264433269788341,0.0
Amur tiger,allee,0.1,4,OptionA,-0.21298071681069888,0.04264433269788341,0.0
Amur tiger,allee,0.1,4,OptionC,-0.6189527893688938,0.042644475198243895,0.0
Amur tiger,allee,0.1,5,Current,-2.5445949486020085,4.556259157007654e-16,0.0
Amur tiger,allee,0.1,5,OptionA,1.477036427611773,2.278129578503827e-16,0.0
Amur tiger,allee,0.1,5,OptionC,-2.9832729912125635,4.556259157007654e-16,0.0
Amur tiger,allee,0.1,6,Current,-8.313688853122548,1.8225036628030615e-15,1.7763568394002505e-15
Amur tiger,allee,0.1,6,OptionA,-4.292057476908765,0.0,1.7763568394002505e-15
Amur tiger,allee,0.1,6,OptionC,-8.752366895733102,0.0,1.7763568394002505e-15
Amur tiger,allee,0.1,7,Current,2.229165506395051,0.21686199975311274,4.440892098500626e-16
Amur tiger,allee,0.1,7,OptionA,2.229165506395051,0.21686199975311274,4.440892098500626e-16
Amur tiger,allee,0.1,7,OptionC,1.8360021817001246,0.21687848662882242,4.440892098500626e-16
Amur tiger,allee,0.1,8,Current,-3.329843982535382,0.2363724769541854,8.881784197001252e-16
Amur tiger,allee,0.1,8,OptionA,-3.329843982535382,0.2363724769541854,8.881784197001252e-16
Amur tiger,allee,0.1,8,OptionC,-3.7230026856396847,0.23638426812143506,8.881784197001252e-16
Amur tiger,allee,0.1,9,Current,-7.01944539765058,0.1448582514318177,0.0
Amur tiger,allee,0.1,9,OptionA,-7.01944539765058,0.1448582514318177,0.0
Amur tiger,allee,0.1,9,OptionC,-7.412593191910792,0.14485825143219322,0.0
Amur tiger,allee,0.1,10,Current,4.224420899026084,0.0,0.0
Amur tiger,allee,0.1,10,OptionA,4.224420899026084,0.0,0.0
Amur tiger,allee,0.1,10,OptionC,3.8274989731993236,0.0,0.0
Amur tiger,allee,0.2,0,Current,0.9168613941103139,2.278129578503827e-16,4.440892098500626e-16
Amur tiger,allee,0.2,0,OptionA,4.938492770324094,9.112518314015307e-16,4.440892098500626e-16
Amur tiger,allee,0.2,0,OptionC,0.4781833514997591,1.1390647892519134e-16,4.440892098500626e-16
Amur tiger,allee,0.2,1,Current,-95.16203290609954,0.0,0.0
Amur tiger,allee,0.2,1,OptionA,-71.93807276162754,1.4580029302424492e-14,0.0
Amur tiger,allee,0.2,1,OptionC,-95.606471638208,1.4580029302424492e-14,0.0
Amur tiger,allee,0.2,2,Current,-144.73144628609626,2.9160058604848984e-14,8.526512829121202e-14
Amur tiger,allee,0.2,2,OptionA,-129.9488691671605,2.9160058604848984e-14,8.526512829121202e-14
Amur tiger,allee,0.2,2,OptionC,-145.17589073053767,5.832011720969797e-14,8.526512829121202e-14
Amur tiger,allee,0.2,3,Current,4.160496823594089,0.061328623969458464,0.0
Amur tiger,allee,0.2,3,OptionA,4.160496823594089,0.061328623969458464,0.0
Amur tiger,allee,0.2,3,OptionC,3.754435706876005,0.06139247271590675,0.0
Amur tiger,allee,0.2,4,Current,-0.21298071681069888,0.04264433269788341,0.0
Amur tiger,allee,0.2,4,OptionA,-0.21298071681069888,0.04264433269788341,0.0
Amur tiger,allee,0.2,4,OptionC,-0.6189527893688938,0.042644475198243895,0.0
Amur tiger,allee,0.2,5,Current,-2.5445949486020085,4.556259157007654e-16,0.0
Amur tiger,allee,0.2,5,OptionA,1.477036427611773,2.278129578503827e-16,0.0
Amur tiger,allee,0.2,5,OptionC,-2.9832729912125635,4.556259157007654e-16,0.0
Amur tiger,allee,0.2,6,Current,-8.313688853122548,1.8225036628030615e-15,1.7763568394002505e-15
Amur tiger,allee,0.2,6,OptionA,-4.292057476908765,0.0,1.7763568394002505e-15
Amur tiger,allee,0.2,6,OptionC,-8.752366895733102,0.0,1.7763568394002505e-15
Amur tiger,allee,0.2,7,Current,2.229165506395051,0.21686199975311274,4.440892098500626e-16
Amur tiger,allee,0.2,7,OptionA,2.229165506395051,0.21686199975311274,4.440892098500626e-16
Amur tiger,allee,0.2,7,OptionC,1.8360021817001246,0.21687848662882242,4.440892098500626e-16
Amur tiger,allee,0.2,8,Current,-3.329843982535382,0.2363724769541854,8.881784197001252e-16
