population,family,seed,grid_41,grid_81,visited_argmax_flip_fraction
Amur tiger,theta,7003,41,81,0.44
Amur tiger,theta,7004,41,81,0.44
Amur tiger,theta,7051,41,81,0.44
Amur tiger,theta,7052,41,81,0.44
Amur tiger,theta,7053,41,81,0.44
Amur tiger,theta,7054,41,81,0.44
Amur tiger,theta,7101,41,81,0.44
Amur tiger,theta,7102,41,81,0.44
Amur tiger,theta,7103,41,81,0.44
Amur tiger,theta,7104,41,81,0.44
Amur tiger,theta,7151,41,81,0.44
Amur tiger,theta,7152,41,81,0.44
Amur tiger,theta,7153,41,81,0.44
Amur tiger,theta,7154,41,81,0.44
Amur tiger,theta,7201,41,81,0.44
Amur tiger,theta,7202,41,81,0.44
Amur tiger,theta,7203,41,81,0.44
Amur tiger,theta,7204,41,81,0.44
Amur tiger,regime,7001,41,81,0.44
Amur tiger,regime,7002,41,81,0.44
Amur tiger,regime,7003,41,81,0.44
Amur tiger,regime,7004,41,81,0.44
Amur tiger,regime,7051,41,81,0.44
Amur tiger,regime,7052,41,81,0.44
Amur tiger,regime,7053,41,81,0.44
Amur tiger,regime,7054,41,81,0.44
Amur tiger,regime,7101,41,81,0.44
Amur tiger,regime,7102,41,81,0.44
Amur tiger,regime,7103,41,81,0.44
Amur tiger,regime,7104,41,81,0.44
Amur tiger,regime,7151,41,81,0.44
Amur tiger,regime,7152,41,81,0.44
Amur tiger,regime,7153,41,81,0.44
Amur tiger,regime,7154,41,81,0.44
Amur tiger,regime,7201,41,81,0.44
Amur tiger,regime,7202,41,81,0.44
Amur tiger,regime,7203,41,81,0.44
Amur tiger,regime,7204,41,81,0.44
